Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","2007","2007","ha","2372542","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","2008","2008","ha","2300000","F","FAO estimate"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","2009","2009","ha","2176162","","Official data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","2010","2010","ha","2278786","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","2011","2011","ha","2685121","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","2012","2012","ha","2746080","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","2013","2013","ha","2731411","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","2014","2014","ha","3084498","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","2015","2015","ha","3458163","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","2016","2016","ha","3168749","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","2017","2017","ha","4035466","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","2018","2018","ha","4359104","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","2019","2019","ha","4733656","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5312","Area harvested","661","Cocoa, beans","2020","2020","ha","4774875","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5419","Yield","661","Cocoa, beans","1961","1961","hg/ha","3269","Fc","Calculated data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5419","Yield","661","Cocoa, beans","1962","1962","hg/ha","3971","Fc","Calculated data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5419","Yield","661","Cocoa, beans","1963","1963","hg/ha","3938","Fc","Calculated data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5419","Yield","661","Cocoa, beans","1964","1964","hg/ha","4515","Fc","Calculated data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5419","Yield","661","Cocoa, beans","1965","1965","hg/ha","3724","Fc","Calculated data"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5419","Yield","661","Cocoa, beans","1966","1966","hg/ha","4366","Fc","Calculated data"
